Name,N,C14:0 Mean,C14:0 SD,C15:0 Mean,C15:0 SD,C16:0 Mean,C16:0 SD,C18:0 Mean,C18:0 SD,C20:0 Mean,C20:0 SD,C21:0 Mean,C21:0 SD,C22:0 Mean,C22:0 SD,C24:0 Mean,C24:0 SD
Isopoda,4,0.29,0.19,0.17,0.19,3.44,1.29,1.45,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ixodida,1,0.00,NA,0.00,NA,1.28,NA,1.63,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA
Lepidoptera,22,0.15,0.23,0.01,0.06,9.17,6.28,3.20,2.06,0.15,0.24,0.06,0.17,0.05,0.13,0.05,0.20
Caterpillar,5,0.20,0.27,0.00,0.00,5.21,3.04,3.67,1.03,0.37,0.36,0.05,0.12,0.16,0.22,0.05,0.10
Moths,17,0.14,0.22,0.02,0.07,10.34,6.56,3.07,2.28,0.08,0.17,0.06,0.19,0.02,0.08,0.05,0.22
Mecoptera,6,0.33,0.21,0.00,0.00,8.16,5.71,1.50,0.35,0.11,0.17,0.00,0.00,0.00,0.00,0.00,0.00
Neuroptera,6,0.43,1.06,0.00,0.00,8.83,7.65,2.12,0.57,0.26,0.30,0.11,0.27,0.04,0.11,0.00,0.00
Opiliones,6,0.94,1.22,0.03,0.07,3.80,1.83,3.44,2.14,0.09,0.15,0.00,0.00,0.00,0.00,0.00,0.00
Oribatida ,3,0.20,0.34,0.00,0.00,3.13,0.55,6.24,2.09,0.25,0.43,0.21,0.37,0.00,0.00,0.00,0.00
Orthoptera,6,0.61,0.51,0.00,0.00,6.69,2.67,3.66,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Grasshopper,3,0.74,0.64,0.00,0.00,7.18,3.53,3.47,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Locust,3,0.47,0.42,0.00,0.00,6.21,2.16,3.84,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pseudoscorpiones,1,0.00,NA,0.00,NA,4.77,NA,4.20,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA
Psocoptera,4,0.00,0.00,0.11,0.22,10.87,15.25,7.75,12.21,0.20,0.41,0.00,0.00,0.00,0.00,0.00,0.00
Raphidioptera,1,0.00,NA,0.00,NA,2.21,NA,1.40,NA,0.30,NA,0.00,NA,0.00,NA,0.00,NA
Thysanoptera,4,0.16,0.33,0.00,0.00,8.71,5.56,4.31,3.33,0.18,0.21,0.00,0.00,0.00,0.00,0.00,0.00
